avg,mapped_wreq,1-48,49-96,97-144,145-192,193-240,241-288,289-336,337-384,385-432,433-480,481-528,529-576,577-624,625-672,673-720,721-768,769-816,817-864,865-912,913-960,961-1008,1009-1056,1057-1104,1105-1152,1153-1200,1201-1248,1249-1296,1297-1344,1345-1392,1393-1440
37,"{""mean"": 37.0, ""bench"": ""chameleon-df5f810d99eac5"", ""payload"": ""{\""nrow\"": 88, \""ncol\"": 88}""}",4,5,5,5,5,5,4,5,4,5,7,6,7,6,5,6,7,5,6,4,2,2,2,2,2,4,2,2,3,3
13,"{""mean"": 13.0, ""bench"": ""matmul_fb-143623b9c5009f"", ""payload"": ""{\""N\"": 216, \""M\"": 216}""}",2,1,1,1,1,2,2,2,2,3,3,5,5,4,5,6,7,8,7,8,7,6,5,5,5,5,4,4,3,2
45,"{""mean"": 45.1, ""bench"": ""matmul_fb-7bcf3917015314"", ""payload"": ""{\""N\"": 320, \""M\"": 320}""}",2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,5,5,4,6,6,6,6,5,5,5,4,4,3,3,3
38,"{""mean"": 38.0, ""bench"": ""matmul_fb-241ea3132269f7"", ""payload"": ""{\""N\"": 304, \""M\"": 304}""}",4,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
418,"{""mean"": 421.4, ""bench"": ""json_serdes-78e0bf35457a"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n13312.json\""}""}",3,2,1,1,1,1,1,2,2,3,3,3,3,3,3,4,4,5,5,5,5,4,4,4,4,5,5,5,5,3
87,"{""mean"": 86.8, ""bench"": ""pyaes-5d81f51317c8bdae97"", ""payload"": ""{\""message_length\"": 96, \""num_iterations\"": 126}""}",1,2,3,3,3,3,4,5,8,10,13,10,10,7,5,3,2,1,1,0,0,0,1,0,0,0,1,0,0,1
107,"{""mean"": 106.0, ""bench"": ""pyaes-4ebd86c0e3e280450d"", ""payload"": ""{\""message_length\"": 336, \""num_iterations\"": 51}""}",4,4,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
75,"{""mean"": 74.3, ""bench"": ""pyaes-a5ae7bc23ccefa54c1"", ""payload"": ""{\""message_length\"": 11776, \""num_iterations\"": 1}""}",2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3
7230,"{""mean"": 7187.2, ""bench"": ""chameleon-99d67cd12990f3"", ""payload"": ""{\""nrow\"": 1472, \""ncol\"": 1472}""}",3,2,3,2,1,4,2,2,2,3,2,2,2,3,1,1,2,1,2,2,2,9,7,2,8,5,8,4,3,3
49,"{""mean"": 48.7, ""bench"": ""pyaes-52eef2f545abb88b33"", ""payload"": ""{\""message_length\"": 7680, \""num_iterations\"": 1}""}",1,1,4,8,6,10,5,5,4,5,1,1,1,2,2,3,5,5,2,2,3,2,2,2,2,2,2,2,1,2
57,"{""mean"": 57.0, ""bench"": ""pyaes-c3896e71bda910c56c"", ""payload"": ""{\""message_length\"": 352, \""num_iterations\"": 26}""}",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
210,"{""mean"": 208.1, ""bench"": ""json_serdes-43d9dd4d8c63"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6400.json\""}""}",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
749,"{""mean"": 753.0, ""bench"": ""chameleon-445653043c4e13"", ""payload"": ""{\""nrow\"": 472, \""ncol\"": 472}""}",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1157,"{""mean"": 1150.0, ""bench"": ""chameleon-2429c9fc2fc77c"", ""payload"": ""{\""nrow\"": 584, \""ncol\"": 584}""}",3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,1,1,3,3
11,"{""mean"": 11.0, ""bench"": ""rnn_serving-0abbab7c5358"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""language\"": \""Scottish\"", \""start_letters\"": \""ABCDEFGHIJKLMNOP\"", \""model_parameter_object_key\"": \""rnn_params.pkl\"", \""model_object_key\"": \""rnn_model.pth\""}""}",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
212,"{""mean"": 210.2, ""bench"": ""pyaes-89a7f312f9e04d99f9"", ""payload"": ""{\""message_length\"": 336, \""num_iterations\"": 101}""}",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
64,"{""mean"": 64.0, ""bench"": ""pyaes-de17185298cfda82e1"", ""payload"": ""{\""message_length\"": 32, \""num_iterations\"": 201}""}",2,2,2,2,2,2,2,3,5,2,2,2,2,2,2,2,3,3,3,4,4,3,3,4,5,3,3,2,2,2
54,"{""mean"": 54.0, ""bench"": ""pyaes-620e44ac1ab56aea48"", ""payload"": ""{\""message_length\"": 336, \""num_iterations\"": 26}""}",3,3,3,1,3,3,3,2,3,3,2,2,3,3,2,3,3,3,1,3,3,2,2,3,3,2,3,3,3,1
238,"{""mean"": 235.8, ""bench"": ""pyaes-93961126ed58d9f0b9"", ""payload"": ""{\""message_length\"": 784, \""num_iterations\"": 51}""}",3,3,2,3,3,3,3,2,2,3,2,2,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3
207,"{""mean"": 208.1, ""bench"": ""json_serdes-43d9dd4d8c63"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6400.json\""}""}",1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,6,4,4,4,4,5,4,5,6,5,4,2,1,1,1
94,"{""mean"": 93.7, ""bench"": ""pyaes-595123f57a95519143"", ""payload"": ""{\""message_length\"": 14848, \""num_iterations\"": 1}""}",2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
8,"{""mean"": 8.0, ""bench"": ""matmul_fb-8881d1c55e2de7"", ""payload"": ""{\""N\"": 184, \""M\"": 184}""}",2,2,2,2,2,2,2,3,4,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
50,"{""mean"": 50.3, ""bench"": ""new_lr_serving-bf956d40f"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""model_object_key\"": \""lr_model_reviews10mb.pk\"", \""tfidf_vect_object_key\"": \""lr_vectorizer_reviews10mb.pk\"", \""x\"": \""My favorite cafe. I like going there on weekends, always taking a cafe and some of their pastry before visiting my parents.  \""}""}",2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2
993,"{""mean"": 1002.2, ""bench"": ""video_processing-3d4bd40"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""vid_name\"": \""big_buck_bunny_480p_1mb.mp4\""}""}",2,2,2,1,2,1,1,3,5,2,2,1,2,2,2,2,3,3,3,3,3,3,1,4,6,4,2,2,2,2
869,"{""mean"": 860.5, ""bench"": ""chameleon-2c3fcfd4b22311"", ""payload"": ""{\""nrow\"": 504, \""ncol\"": 504}""}",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
42,"{""mean"": 41.8, ""bench"": ""chameleon-c1edffb5aba455"", ""payload"": ""{\""nrow\"": 96, \""ncol\"": 96}""}",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2
81,"{""mean"": 81.4, ""bench"": ""chameleon-9c8958ad2d2358"", ""payload"": ""{\""nrow\"": 144, \""ncol\"": 144}""}",2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,4,2,2,2,2,3,2,2,2,2
